Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
"Vital Theatre Company, Inc.","2162 Broadway, Fourth floor",New York,NY,10024,(212) 579-0528,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Viva Voce Chamber Ensemble, Inc.",14 Brentwood Avenue,Staten Island,NY,10301,(212) 873-0277,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Vivian Beaumont Theater, Inc.",150 West 65th Street,New York,NY,10023,(212) 362-7600,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Vocal Ease, Inc.","240 West 73rd Street, Ste. 1403",New York,NY,10023,(212) 579-5386,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Voelker Orth Museum,149-19 38th AVenue,Flushing,NY,11354,(718) 359-6227,"Multi-Discipl, Perf & Non-Perf",Queens Council District #20,Queens Community Board #7,Queens
"Voice and Vision, Inc.","520 Eight Ave, Suite 316",New York,NY,10018,(212) 268-3717,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Voices UnBroken, Inc.",P.O. Box 342,Bronx,NY,10461,(718) 292-3018,Literature,Bronx Council District #17,Bronx Community Board #1,Bronx
"Volcano Love, Inc.",524 Bergen Street,Brooklyn,NY,11217,(718) 399-3161,Dance,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn
"Volunteer Lawyers for the Arts, Inc.","1 East 53rd Street, 6th Floor",New York,NY,10022,(212) 319-2787 x17,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Vortex Theater Company, Inc.",164 Eleventh Avenue,New York,NY,10011,(212) 206-1764,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Voyage Theater Company, Inc.",165 First Avenue,New York,NY,10003,(917) 370-1101,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
WBAI,120 Wall St; 10th Fl.,New York,NY,10005,(212) 209-2800,Humanities,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"WCV, Inc.","140 Second Avenue, Ste. 501",New York,NY,10003,(917) 374-2750,Dance,Brooklyn Council District #39,Brooklyn Community Board #7,Manhattan
WNET,825 Eighth Avenue,New York,NY,10019,(212) 560-1355,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Wagner College Young Musician's Competition,Wagner College,Staten Island,NY,10301,(718) 390-3202,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
Washington Heights and Inwood Development Corporation,57 Wadsworth Avenue,New York,NY,10033,(212) 795-1600,"Multi-Discipline, Performing",Manhattan Council District #10,Manhattan Community Board #12,Manhattan
Washington Square Association Music Fund,P.O. Box 1066,New York,NY,10014,(917) 855-4205,Music,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Washington Square Contemporary Music Society,"c/o Talia Jimenez, Managing Director",Jackson Heights,NY,11372,(917) 751-0707,Music,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Waterfront Museum,"290 Conover Street, Pier 44",Brooklyn,NY,11231,(718) 624-4719 x11,Museum,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
"Waterwell Productions, Inc.","118 Macdougal Street, 2nd Floor",New York,NY,10012-5017,(212) 560-7545,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Watson Arts, Inc",147 Bergen Street,Brooklyn,NY,11217,(917) 239-1331,Theater,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Wave Hill,675 West 252nd Street,Bronx,NY,10471,(718) 549-3200,Botanical,Bronx Council District #11,Bronx Community Board #8,Bronx
"WaxFactory, Inc.",c/o Invisible Dog Art Center,Brooklyn,NY,11201,(646) 247-9959,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
We Care Media Arts,"150 East 73rd Street, Ste. 2C",New York,NY,10021,(917) 509-7453,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #7,Manhattan
"Welltone New Music, Inc.",20 Vesey Street,New York,NY,10007,(212) 691-6858,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
West Harlem Community Preservation Organization,P.O. Box 1092,New York,NY,10185,(917) 583-4109,Other,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
West Harlem Development Corporation,"423 W. 127th St., Suite A",New York,NY,10027,(646) 476-3394,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"West Indian American Day Carnival Association, Inc.",P.O. Box 130192,Brooklyn,NY,11213,(718) 467-1797,Folk Arts,Brooklyn Council District #36,Brooklyn Community Board #8,Brooklyn
West Side Cultural Center,"136 West 70th Street, Ste. 1",New York,NY,10023,(212) 496-2030,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Westbeth Artists Residents Council,"463 West Street, Apt. 1008",New York,NY,10014,(212) 243-6373,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Westchester Square Art Center,2616 East Tremont Avenue,New York,NY,10461,(718) 684-4589,Visual Arts,Bronx Council District #11,Bronx Community Board #10,Bronx
"Western Wind Vocal Ensemble, Inc.","263 West 86th Street, 3rd Floor",New York,NY,10024,(212) 873-2848,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Wet Ink Music Productions, Inc.",23-52 37th Street,Astoria,NY,11105,(917) 587-7558,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Queens
"Where We At: Black Women Artists, Inc.","89 Fifth Avenue, Suite 129",Brooklyn,NY,11217,(718) 361-3376,"Multi-Discipline, Non-Perform",Brooklyn Council District #36,Brooklyn Community Board #8,Brooklyn
"Where there is Need, Inc.",110-31 155 Street,Jamaica,NY,11433,(718) 529-3639,"Multi-Discipline, Non-Perform",Queens Council District #28,Queens Community Board #12,Queens
"White Box, Ltd.",329 Broome Street,New York,NY,10002,(212) 714-2347,Visual Arts,Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"White Columns, Inc.",320 West 13th Street,New York,NY,10014,(212) 924-4212,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
White Wave Rising: Young Soon Kim Dance Company,"753 Lexington Avenue, Suite 2B",New York,NY,11221,(718) 855-8822,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Whitney Museum of American Art,945 Madison Avenue,New York,NY,10021,(212) 570-3635,Museum,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
Wide Eyed Productions,"24-50 29th St., Apt 3A",Astoria,NY,11102,(917) 868-1647,Theater,Queens Council District #22,Queens Community Board #1,Manhattan
"Wilbur Ware Institute, Inc.",620 Malcolm X Blvd,New York,NY,10027,(347) 523-9886,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
Wildlife Conservation Society - Bronx Zoo,2300 Southern Boulevard,Bronx,NY,10460,(718) 220-5100,Zoo,Bronx Council District #15,Bronx Community Board #6,Bronx
Wildlife Conservation Society - New York Aquarium,602 Surf Avenue,Brooklyn,NY,11224,(718) 265-3400,Zoo,Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn
"Williamsburg Art Nexus, Inc.","67 Metropolitan Avenue, 4th Floor",Brooklyn,NY,11211,(718) 384-8060,Dance,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
Williamsburg Art and Historical Center,135 Broadway,Brooklyn,NY,11211,(718) 486-7372,,Brooklyn Council District #34,,Brooklyn
Willie Mae Rock Camp for Girls,87 Irving Place,Brooklyn,NY,11238,(212) 777-1323,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Wings Theatre Company, Inc.",154 Christopher Street,New York,NY,10014,(212) 627-2960,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Wingspan Arts, Inc.","630 Ninth Avenue, Ste. 410",New York,NY,10036,(212) 586-2330,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Winter Film Awards,419 Lafayette Street,New York,NY,10003,(415) 355-4371,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Women Make Movies, Inc.","462 Broadway, 5th floor",New York,NY,10013,(212) 925-0606 x301,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Women's Expressive Theater, Inc.","441 Lexington Avenue, PH",New York,NY,10017,(212) 682-0265,"Multi-Discipline, Non-Perform",Manhattan Council District #4,Manhattan Community Board #5,Manhattan
"Women's Interart Center, Inc.","549 West 52nd Street, Third Floor",New York,NY,10019,(212) 246-1050,,,,Manhattan
"Women's Project and Productions, Inc.",55 West End Avenue,New York,NY,10023,(212) 765-1706,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Womens Housing and Economic Development Corporation,50 East 168th Street,Bronx,NY,10452,(718) 839-1100,Music,Bronx Council District #16,Bronx Community Board #4,Bronx
"Woodlawn Conservancy, Inc.",4199 Webster Avenue,Bronx,NY,10470,(718) 920-1469,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #11,Bronx Community Board #12,Bronx
"Woodshed Collective, Inc.",366 union Street #4M,New York,NY,11231,(646) 824-4831,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Woodside on the Move, Inc.","39-42 59th Street, Second Floor",Woodside,NY,11377,(718) 476-8449,"Multi-Discipl, Perf & Non-Perf",Queens Council District #26,Queens Community Board #2,Queens
"Woodycrest Center for Human Development, Inc.",153 West 165th Street,Bronx,NY,10452,(718) 992-4256,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #16,Bronx Community Board #4,Bronx
"Wooster Group, Inc.",P.O. Box 654,New York,NY,10013,(212) 966-9796,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Ballroom Basix USA, Inc.",178 E. 117th St,New York,NY,10035,(212) 876-8660,Dance,Manhattan Council District #8,Manhattan Community Board #11,Bronx
"Bang Group, Inc.","131 Perry Street, Ste. 1A",New York,NY,10014,(212) 337-9565,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Bang on a Can, Inc.","80 Hanson Place, Ste. 701",Brooklyn,NY,11217,(718) 852-7755,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Bangladesh Institute of Performing Arts, Inc.",40-25 68th Street,Woodside,NY,11377,(917) 674-4746,Folk Arts,Queens Council District #26,Queens Community Board #1,Queens
Bangladeshi American Community Development and Youth Services,181 Forbell Street,Brooklyn,NY,11208,(718) 235-1700,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #37,Brooklyn Community Board #5,Brooklyn
"Barbad Chamber Orchestra, Inc.","PO Box 216, Lenox Hill Station",New York,NY,10021,(212) 414-7691,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Bardekova Ensemble,2965 Marion Avenue 3G,New York,NY,10458,(718) 933-6221,Music,Bronx Council District #11,Bronx Community Board #7,Bronx
"Bargemusic, Ltd.",Fulton Ferry Landing,Brooklyn,NY,11201,(718) 624-4061,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Barrow Group, Inc.","312 West 36th Street, Apt. 4W",New York,NY,10018,(201) 709-5720,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Bartow-Pell Landmark Fund,895 Shore Road,Bronx,NY,10464,(718) 885-1461,Museum,Bronx Council District #13,Bronx Community Board #10,Bronx
"Baryshnikov Dance Foundation, Inc.","450 West 37th Street, Suite 501",New York,NY,10018,(646) 731-3201,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Batoto Yetu, Inc.",12 Sylvan Terrace,New York,NY,10032,(646) 240-4161,Dance,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Battered Women's Safe Territory -an Opportunity to Progress, Inc.",94 Bentwood Drive,Waterbury,NY,06705,(203) 768-3841,"Multi-Discipline, Non-Perform",Bronx Council District #16,Bronx Community Board #5,Bronx
Battery Dance Corporation,"380 Broadway, Fifth Floor",New York,NY,10013,(212) 219-3910,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Battleworks Dance Company,P.O. Box 16,New York,NY,10012,(718) 312-8718,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Bayside Glee Club, Inc.",51-17 Reeder Street,Elmhurst,NY,11373,(718) 424-5769,Music,Queens Council District #19,Queens Community Board #4,Queens
Bayside Historical Society,208 Totten Avenue,Bayside,NY,11359,(718) 352-1548,Humanities,Queens Council District #19,Queens Community Board #11,Queens
"Beam Center, Inc.",47 Bergen Street,Brooklyn,NY,11201,(347) 470-6747,"Multi-Discipline, Non-Perform",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Bedford Stuyvesant Restoration Corporation,1368 Fulton Street,Brooklyn,NY,11216,(718) 636-6931,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
"Behind the Book, Inc.","216 West 135th Street, Ground Floor",New York,NY,10030,(212) 222-3627,Literature,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
Believe In Me,1123 Broadway,New York,NY,10010,(646) 336-1500,,,,Manhattan
"Bella Voce, Inc.",659 85th Street,Brooklyn,NY,11228,(917) 501-0338,Music,Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn
"Belladonna Series, Inc.",925 Bergen St,Brooklyn,NY,11238,(917) 474-2003,Literature,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn
"Beta Israel of North America Cultural Foundation, Inc.",PO Box 470,New York,NY,10030,(212) 284-6942,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Beth Morrison Projects,666 Ocean Avenue #D1,Brooklyn,NY,11226,(646) 682-7181,Music,Manhattan Council District #4,Manhattan Community Board #8,Brooklyn
"Big Apple Circus, Ltd.",One MetroTech Center-North,New York,NY,11201,(212) 268-2500 x148,Theater,Manhattan Council District #3,Manhattan Community Board #5,Brooklyn
"Big Apple Greeter, Inc.",1 Centre Street,New York,NY,10007,(212) 669-3146,Other,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Big Apple Performing Arts, Inc.","676A 9th Avenue, Suite 405",New York,NY,10036,(212) 344-1777 x11,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Big Art Group, Inc.",P.O. Box 1034,New York,NY,10276,(646) 479-4363,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Big Dance Theater, Inc.",303 Clinton Street,Brooklyn,NY,11231,(646) 717-0585,Theater,Brooklyn Council District #39,Brooklyn Community Board #2,Manhattan
"Big Tree Productions, Inc.","42 Horatio Street, #9",New York,NY,10014,(212) 633-0016,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Biko Transformation Center,1474 Bushwick Avenue,Brooklyn,NY,11207,(718) 455-5963,"Multi-Discipline, Performing",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn
"Billie Holiday Theatre, Inc.",P.O. Box 470131,Brooklyn,NY,11247,(718) 636-0918 x11,Theater,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
"Bindlestiff Family Variety Arts, Inc.",P.O. Box 386,New York,NY,10009,(718) 963-2918,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
Black American Heritage Foundation,"94-20 Guy Brewer Boulevard, Room 3D08",Jamaica,NY,11451,(212) 366-6900 x201,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens
Black Experimental Theatre,P.O. Box 1902,New York,NY,10013,(646) 623-3488,Theater,Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Black Moon Theatre Company, Inc.","104 Greenpoint Avenue, #4L",Brooklyn,NY,11222,(347) 268-3276,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Manhattan
"Black Spectrum Theatre Company, Inc.","119-07 Merrick Boulevard, 2nd Floor",Jamaica,NY,11434,(718) 723-1800,Theater,Queens Council District #27,Queens Community Board #12,Queens
Black Women's Blueprint,P.O. Box 24713,Brooklyn,NY,11202,(347) 533-9102,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn
"Blackberry Productions, Inc.","170 West 136th Street, Ste. 4C",New York,NY,10030,(212) 694-6698,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Blessed Unrest Theatre, Inc.","530 W. 45th Street, #4G",New York,NY,10036,(212) 713-0163,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
